列標籤,平均值 - R_2020,平均值 - R_2022,平均值 - R_2021
Liechtenstein,1.073257576,1.059970149,1.06030137
Lithuania,1.117758007,0.99241791,1.002931507
Low income,,,
Lower middle income,,,
Luxembourg,1.12799308,1.038119403,1.09430137
Macao,,,
Madagascar,0.882045455,0.638985075,0.609808219
Malawi,1.099727273,0.81319403,1.090191781
Malaysia,1.159124579,1.004447761,1.015643836
Maldives,1.050198413,0.886746269,1.047616438
Mali,1.083041825,0.928119403,1.052821918
Malta,0.959646643,0.93358209,1.069589041
Marshall Islands,,0.465087719,
Mauritania,1.104070796,0.894119403,1.009150685
Mauritius,0.255090253,0.462597015,0.835068493
Mexico,1.172222222,0.92161194,1.020219178
Micronesia (country),,0.575606061,
Moldova,1.113498233,0.830537313,1.002
Monaco,0.978186528,1.016149254,1.030931507
Mongolia,0.615021834,0.916686567,1.095753425
Montenegro,0.900218182,0.940447761,1.023835616
Montserrat,,,
Morocco,1.139612676,0.990238806,1.002657534
Mozambique,1.097905983,0.724597015,1.097315068
Myanmar,1.049921875,0.918925373,0.996164384
Namibia,1.144708995,0.486716418,0.990630137
Nauru,,0.144146341,
Nepal,1.15289916,0.945641791,0.991315068
Netherlands,1.161993355,1.024835821,1.019205479
New Caledonia,,,
New Zealand,0.859295775,0.862268657,1.029452055
Nicaragua,1.105892857,0.700776119,1.293753425
Niger,0.939522059,0.517641791,1.002273973
Nigeria,1.115595668,1.016059701,1.012657534
Niue,,,
North America,,,
North Korea,,,
North Macedonia,1.099190141,0.901522388,1.018136986
Northern Cyprus,,,
Northern Ireland,,,
Northern Mariana Islands,,,
Norway,1.1186,0.947223881,1.054054795
Oceania,,,
Oman,1.131035714,0.480626866,1.069205479
Pakistan,1.136701031,0.858328358,0.97860274
Palau,,0.620157233,
Palestine,1.149025271,0.527970149,0.993287671
Panama,1.142404181,0.898477612,1.005643836
Papua New Guinea,0.704635762,0.793014925,0.840054795
Paraguay,1.154317343,0.527492537,0.957452055
Peru,1.170311419,1.051373134,1.066164384
Philippines,1.126712329,1.03758209,1.004356164
Pitcairn,,,
Poland,1.170513699,0.954029851,1.021205479
Portugal,1.165085324,0.924955224,1.033150685
Puerto Rico,,,
Qatar,1.048847458,1.00480597,1.019616438
Romania,1.145273973,0.830447761,0.986657534
Russia,1.192076125,0.977253731,0.997780822
Rwanda,1.081291513,0.716835821,1.062164384
Saint Helena,,,
Saint Kitts and Nevis,,0.711492537,1.046782178
Saint Lucia,0.855789474,0.865820896,1.110356164
Saint Pierre and Miquelon,,,
Saint Vincent and the Grenadines,0.798,0.600477612,1.020356164
Samoa,,0.649257813,
San Marino,0.645709343,0.918238806,0.886465753
Sao Tome and Principe,0.590416667,0.243223881,0.882767123
Saudi Arabia,1.07390411,0.971970149,1.016136986
Scotland,,,
Senegal,1.075392857,0.933761194,1.016219178
Serbia,1.155923345,0.992208955,0.996520548
Seychelles,0.247643678,0.709044776,1.049671233
Sierra Leone,1.031255061,0.343880597,0.767013699
Singapore,1.029901961,1.055104478,1.080575342
Sint Maarten (Dutch part),,,
Slovakia,1.184250871,0.78838806,1.00909589
Slovenia,1.140375427,1.021373134,1.02060274
Solomon Islands,,0.360766773,
Somalia,0.739069767,0.197283582,0.862657534
South Africa,1.176701389,0.946835821,0.982657534
South America,,,
South Korea,1.126730159,1.064059701,1.03539726
South Sudan,0.893037975,0.50638806,0.901671233
Spain,1.227532895,1.094985075,1.124356164
Sri Lanka,1.050851064,0.919373134,1.013369863
Sudan,1.127480315,0.712835821,0.77630137
Suriname,1.054326923,0.678537313,1.048328767
Sweden,1.243066667,1.054746269,1.126575342
Switzerland,1.192923588,1.074149254,1.108986301
Syria,1.071363636,0.934567164,0.99709589
Taiwan,0.7271875,1.16558209,1.03890411
Tajikistan,1.028755187,0.063402985,0.281260274
Tanzania,0.047403101,0.304597015,0.070027397
Thailand,1.018865979,0.800686567,1.074575342
Timor,,0.896238806,0.918947368
Togo,1.050243902,0.937104478,1.084739726
Tokelau,,,
Tonga,,0.564158076,
Trinidad and Tobago,0.751107011,0.904268657,1.09509589
Tunisia,1.119858156,0.810746269,0.981506849
Turkey,1.161498258,0.49841791,1.007479452
Turkmenistan,,,
Turks and Caicos Islands,,,
Tuvalu,,0.778076923,
Uganda,1.142217573,0.465492537,0.978931507
Ukraine,1.160854093,0.798328358,1.004109589
United Arab Emirates,1.124375,0.961283582,1.011534247
United Kingdom,1.193059211,1.014597015,1.031643836
United States,1.252582781,0.99038806,1.023863014
United States Virgin Islands,,,
Upper middle income,,,
Uruguay,1.101958042,0.922029851,1.026410959
Uzbekistan,1.064784173,1.059134328,1.021315068
Vanuatu,,0.698345865,
Vatican,,,
Venezuela,1.10125,1.03680597,1.028410959
Vietnam,0.77334507,0.869313433,1.157287671
Wales,,,
Wallis and Futuna,,,
Western Sahara,,,
World,1.21130814,0.990029851,1.014383562
Yemen,0.800217391,0.318507463,1.051808219
Zambia,0.975306122,0.766089552,1.072465753
Zimbabwe,1.148256881,0.834358209,1.084438356
總計,1.040624789,0.780443083,0.97942312
