Location,2020_rate,2021_rate
Saint Pierre and Miquelon,254.8856667,1189.465167
Equatorial Guinea,262.5503333,419.5729167
Malaysia,277.4890833,6494.83225
Gabon,333.8578333,1124.146
Venezuela,334.3678333,974.84475
Philippines,341.8631667,1709.029417
Asia,351.2185833,1134.478583
Sao Tome and Principe,371.6035833,1056.54075
Isle of Man,371.64625,13075.60725
Jamaica,378.058,2390.10825
Trinidad and Tobago,389.1678333,4612.81375
Cayman Islands,409.86325,10282.97542
Lower middle income,419.8336667,1184.912417
Djibouti,433.5245,581.7745833
Uruguay,465.99325,9598.974917
Botswana,469.0526667,6485.445
Finland,547.7900833,3525.503333
Bonaire Sint Eustatius and Saba,603.776,9888.3635
India,604.8843333,1445.063333
El Salvador,609.3640833,995.6115833
Falkland Islands,635.7978333,1227.747333
Guatemala,644.53275,2289.982917
Eswatini,648.9535833,3935.532833
Guyana,654.01275,3425.23875
Nepal,710.8964167,1549.053167
Norway,760.0898333,5285.723917
Upper middle income,767.4218333,1954.1025
Namibia,777.197,4026.48475
Bermuda,783.92375,7548.502917
Saudi Arabia,830.2499167,442.87575
Suriname,837.315,6234.16125
Kazakhstan,864.3336667,3998.251333
Singapore,866.2825,3264.22475
World,867.99275,2145.4525
Mexico,932.0575,1668.984667
Tunisia,938.4023333,3962.720667
Faeroe Islands,957.0056667,8085.92275
Honduras,973.2639167,2057.4015
Morocco,977.0795,1165.526
Kyrgyzstan,1018.432083,1302.730667
Ecuador,1035.02525,1561.547
Bolivia,1091.585667,2997.006583
Greece,1114.19025,8602.198167
Iraq,1114.874167,2806.329417
Iran,1152.95925,4676.480083
Libya,1226.658083,3528.607
Dominican Republic,1267.460167,1840.450083
Canada,1279.113,3539.884083
Iceland,1285.858083,4761.292
Paraguay,1326.451417,4401.790167
Turkey,1352.8305,7102.757667
South Africa,1470.880917,3314.944167
Ireland,1522.612917,11607.78625
Bahamas,1599.838917,3384.847
Turks and Caicos Islands,1629.269667,4357.47675
Cape Verde,1663.4015,4199.52775
Belarus,1697.997,4412.064083
Albania,1709.755083,4453.759667
Germany,1718.98425,5428.30625
Estonia,1758.965167,13411.74592
Azerbaijan,1759.496833,3203.997
Russia,1800.886417,4142.130833
United Arab Emirates,1834.366833,4890.962333
Latvia,1841.869833,10616.51683
Curacao,1856.957167,7438.725167
Malta,2002.650417,6203.4375
Monaco,2025.612417,9385.87325
Cyprus,2078.293917,13437.48808
Jordan,2175.314417,5677.532333
Maldives,2188.6615,13036.67233
Palestine,2190.506583,5265.701417
Belize,2215.72425,4536.725417
Ukraine,2281.59,5793.676583
Denmark,2315.987167,9079.83
Oman,2346.637167,3216.244333
Kosovo,2391.54,5159.600167
Peru,2484.457,3136.831667
Bulgaria,2485.346,6694.7505
South America,2523.97,5045.72575
Chile,2588.677333,5090.5305
Colombia,2639.045667,5646.15475
Europe,2676.710667,7291.971
Romania,2680.08875,4987.588167
Hungary,2696.43375,7808.037583
Poland,2707.331417,5882.12725
Costa Rica,2723.513167,6453.833
Lebanon,2755.183083,8294.663833
Vatican,2784.653583,0
High income,2806.259583,6389.144333
Bosnia and Herzegovina,2860.26375,4647.346333
European Union,2900.403167,7601.064833
Kuwait,2939.565333,5203.367333
Italy,2974.542583,5672.269167
Argentina,2976.456917,7377.252917
Brazil,2980.470917,5606.526
United Kingdom,3072.16125,12907.34075
North America,3221.21325,5817.252083
North Macedonia,3316.805583,5640.985917
Austria,3319.158667,8527.100083
Portugal,3357.712667,7918.585917
France,3361.68325,9469.903833
Spain,3396.984333,7781.464583
Sweden,3455.023083,6930.956833
Moldova,3687.195583,5890.047667
Israel,3733.11075,8483.014417
Netherlands,3827.047,11134.94042
Slovakia,4054.889083,16191.01233
Serbia,4098.094833,11659.38317
Aruba,4296.645417,11719.69092
Switzerland,4312.27675,8393.130583
Croatia,4359.349,10429.3385
Lithuania,4395.42275,11495.96933
Qatar,4447.341333,3298.973917
French Polynesia,4605.08275,8016.587833
Belgium,4622.085583,10429.94017
Panama,4664.9535,4709.187083
Liechtenstein,4711.38825,8279.336917
Armenia,4777.636833,5560.236333
Slovenia,4801.927833,13440.3045
United States,4980.268333,8544.785083
Georgia,5061.355667,15741.81525
Gibraltar,5204.987333,17009.92558
Bahrain,5245.702833,10719.91133
Czechia,5706.9255,13979.25525
San Marino,5770.753083,14517.1665
Luxembourg,6146.14475,7379.929667
Montenegro,6411.5755,16184.35367
Andorra,8400.862167,16376.93125
